county,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Adair,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
Adams,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
Allamakee,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
Appanoose,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
Audubon,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
Benton,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
Black Hawk,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
Boone,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
Bremer,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
Buchanan,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
Buena Vista,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
Butler,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
Calhoun,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
Carroll,92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194
Cass,90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119
Cedar,93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196
Cerro Gordo,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693
Cherokee,90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118
Chickasaw,90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38
Clarke,90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183
Clay,93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375
Clayton,91,15.3,4,29261,17735,17377,110,40,80,0,0,128
Clinton,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
Crawford,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
Dallas,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
Davis,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
Decatur,86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113
Delaware,90.7,15.1,3.4,31331,17445,17154,33,5,63,0,13,177
Des Moines,92.2,19.6,5.7,26580,40114,36446,2239,68,179,0,92,1090
Dickinson,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196
Dubuque,92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907
Emmet,89.6,17.5,5.3,26767,9820,9443,141,46,30,11,55,94
Fayette,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295
Floyd,89,19.7,3.5,27429,16004,15163,272,66,263,2,43,195
Franklin,88.6,16.7,5.4,30289,10393,9591,139,8,24,0,510,121
Fremont,92.1,21.4,3.9,32643,7019,6765,41,50,0,0,83,80
Greene,92.8,18,5.8,26795,9083,8887,14,16,44,5,0,117
Grundy,95.4,25.1,3.8,36396,12373,12169,42,4,77,0,8,73
Guthrie,92.1,20.5,3.3,31155,10691,10418,26,31,7,0,68,141
Hamilton,92.2,22,3,32408,15227,14213,97,0,387,0,369,161
Hancock,92.7,19.9,1.8,31848,11006,10661,86,19,40,9,34,157
Hardin,91.7,20.4,3.4,30218,17324,16615,215,35,118,0,120,221
Harrison,91,17.4,2.8,32019,14335,13978,7,66,44,7,35,198
Henry,92,18.8,4.9,29894,19941,18325,419,58,528,11,246,354
Howard,88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91
Humboldt,93.1,19.9,3.9,30527,9607,9416,15,19,28,0,4,125
Ida,93.3,19,3.6,29776,7041,6885,6,56,22,0,21,51
Iowa,92.1,18.6,1.8,31660,16326,15972,105,8,26,10,49,156
Jackson,91.2,16.5,4.8,30949,19529,18947,70,15,78,120,33,266
Jasper,92.4,17.9,4.9,30841,36715,35174,550,71,191,41,74,614
Jefferson,94.9,33.1,6.6,25128,17662,14839,1011,2,825,0,423,562
Johnson,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017
Jones,92.1,16.7,4.5,31388,20481,19578,431,124,104,0,49,195
Keokuk,91.3,17,5.5,30379,10234,10026,1,7,51,7,35,107
Kossuth,94.3,19.5,1.8,30793,15226,14818,69,27,87,0,79,146
Lee,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993
Linn,94.6,32.2,4.2,34878,218076,195251,10174,416,4667,60,1637,5871
Louisa,82.7,13.3,4.3,30488,11251,10414,142,31,379,13,233,39
Lucas,91.8,16.5,5.1,29072,8700,8498,11,27,0,0,0,164
Lyon,90.6,21.3,1.9,32119,11730,11385,6,70,29,8,124,108
Madison,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84
Mahaska,91.1,23.9,6.3,30435,22324,21361,334,29,238,0,95,267
Marion,92.9,25.4,3.9,30916,33197,31849,210,94,356,0,185,503
Marshall,84.7,19.5,5.9,30035,40735,34008,511,97,1258,15,3779,1067
Mills,93.3,23.9,3.9,35694,14841,14460,111,121,22,0,9,118
Mitchell,91.2,15.7,3.6,30757,10757,10528,9,26,40,0,6,148
Monona,90.5,16.6,4.1,26740,9013,8741,50,110,10,0,12,90
Monroe,88.1,15.4,5.9,31789,7964,7749,6,0,18,0,146,45
Montgomery,89.1,15.5,8.4,26750,10380,9913,0,24,0,0,167,276
Muscatine,86.9,20.5,4.5,31151,42949,39253,745,66,474,12,1186,1213
O'Brien,92.1,20,2.7,30568,14055,13281,68,36,121,5,381,163
Osceola,87.6,16.6,2.7,26997,6154,5871,25,11,25,6,155,61
Page,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226
Palo Alto,93.6,22.1,2,29352,9155,8833,166,12,46,0,16,82
Plymouth,92.1,19.5,3.6,34581,24972,23828,122,46,142,58,505,271
Pocahontas,93.2,16.9,4.8,30786,7061,6778,103,6,16,10,49,99
Polk,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163
Pottawattamie,90,20.7,4.9,31657,93198,87907,1352,304,636,5,1240,1754
Poweshiek,93.4,22.9,4.3,24258,18622,17632,333,17,373,5,35,227
Ringgold,90.8,19.3,5.3,27585,5054,4911,11,20,21,0,57,34
Sac,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118
Scott,93,31.9,4.9,32582,171116,146989,13254,503,4126,17,1858,4369
Shelby,91.3,21.1,3.3,28962,11944,11484,49,16,37,0,211,147
Sioux,89.9,26.9,1.8,28100,34621,32150,146,81,246,4,1609,385
Story,96.3,50.3,5.2,18959,94834,83040,2136,211,6523,29,320,2575
Tama,90.6,16.3,5.7,31113,17423,15442,88,1290,60,9,214,320
Taylor,90.9,13.6,3.3,30590,6209,5960,12,16,44,0,131,46
Union,91.9,16.4,4.1,27422,12539,12208,124,35,81,7,0,84
Van Buren,88.3,12.7,3.7,29712,7380,7229,43,7,3,0,6,92
Wapello,86.3,17.6,7,27318,35242,32003,831,68,323,95,1446,476
Warren,95.6,28.8,5.2,36543,48170,46619,193,113,230,51,200,764
Washington,90.8,20.9,4.2,31092,22115,21332,195,49,103,11,178,247
Wayne,89.2,13.1,3,26887,6403,6264,41,21,4,0,0,73
Webster,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510
Winnebago,91,21.6,6.6,28874,10580,10088,79,81,119,1,40,172
Winneshiek,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130
Woodbury,85.7,21.7,5,27239,102426,88291,3149,1570,2832,133,3390,3061
Worth,92.3,15.3,6.3,28517,7562,7347,68,6,14,1,5,121
Wright,90,17,6.2,30756,12891,12022,63,26,73,0,530,177
